"vid","hs","ag","ex","co","em","op"
"SELTCAWRS_t1_v1",5.6,1.8,2.6,2,2.2,1.8
"SELTCAWRS_t1_v2",5.8,4.6,6,5.8,6.2,5.6
"SELTCAWRS_t1_v3",6,1.8,1.6,1.6,1.2,2
"SELTCAWRS_t1_v4",5.8,6,4,5.8,6.4,5.4
"SELTCAWRS_t1_v5",5.6,5.2,4.4,5.8,6.6,4.6
"SELTCAWRS_t1_v6",6.4,1.6,2,1.2,1.6,1.8
"SELTCAWRS_t1_v7",6,6.2,4.6,5.8,6.4,5.4
"SELTCAWRS_t1_v8",6.2,1.8,1.6,1.2,1.2,1.6
"SELTCAWRS_t10_v3",6.6,1.2,1.2,1.2,1.2,2
"SELTCAWRS_t10_v4",6.6,6.4,6.2,6.6,6.6,6.2
"SELTCAWRS_t10_v5",6.6,6.2,6.6,6.8,6.8,5.8
"SELTCAWRS_t10_v6",7,1,1,1,1,1
"SELTCAWRS_t10_v8",6.8,1.2,1,1,1,1.2
"SELTCAWRS_t100_v1",6,1.4,3,1.4,1.4,1.6
"SELTCAWRS_t100_v2",6.2,6.2,6,6,6.2,6.2
"SELTCAWRS_t100_v3",6,1.6,1.4,1.6,1.2,2
"SELTCAWRS_t100_v4",6.4,6.2,6.4,6.4,6.2,6.4
"SELTCAWRS_t100_v5",6.4,6.2,6.2,6.6,6.6,6.4
"SELTCAWRS_t100_v6",6.6,1.2,1.4,1.4,1.4,1.2
"SELTCAWRS_t100_v7",6.2,6,6,6.4,6.4,6.2
"SELTCAWRS_t100_v8",6.2,1.4,1.2,1.6,1.2,2
"SELTCAWRS_t101_v1",4.2,3.6,1.2,1.8,3.6,3.8
"SELTCAWRS_t101_v2",3.8,3.6,6,4.8,4,4.2
"SELTCAWRS_t101_v3",4.4,3.8,1.6,1.8,2.2,3.2
"SELTCAWRS_t101_v4",4,5,5.4,5.4,4,4.6
"SELTCAWRS_t101_v5",4.2,3.8,5.8,5.8,4.6,5
"SELTCAWRS_t101_v6",3.6,4.2,1.8,2,4.8,3.8
"SELTCAWRS_t101_v7",4,4.2,5.2,5.6,3.8,4.2
"SELTCAWRS_t101_v8",5.25,3,1.5,1.75,1.5,2.25
"SELTCAWRS_t102_v1",4.8,2.4,2.4,2,2.4,2.4
"SELTCAWRS_t102_v2",5,4,5.8,5.6,5,4.8
"SELTCAWRS_t102_v3",4.4,3,2,2,1.6,1.8
"SELTCAWRS_t102_v4",5,5.8,5.8,5.6,5.8,5.4
"SELTCAWRS_t102_v5",4.4,4.4,5.8,5.8,5.4,5.2
"SELTCAWRS_t102_v6",4.6,1.8,2,1.6,1.8,2
"SELTCAWRS_t102_v7",4.6,4.8,5.6,5.4,5.6,5.2
"SELTCAWRS_t102_v8",5,3.2,1.6,2.2,1.6,2.6
"SELTCAWRS_t103_v1",4.75,1.5,3.75,1.75,2,2.75
"SELTCAWRS_t103_v2",5.4,4.6,5.6,6,5.6,5.6
"SELTCAWRS_t103_v3",5,2.2,1.8,2,1.6,2.4
"SELTCAWRS_t103_v4",5.6,6,4.6,5.8,6,5.6
"SELTCAWRS_t103_v5",5.6,5.2,5,5.8,5.6,4.4
"SELTCAWRS_t103_v6",5.8,2.2,2.4,1.4,2.4,2.4
"SELTCAWRS_t103_v7",6,6,5.2,6.2,5.8,6.2
"SELTCAWRS_t103_v8",6.25,1.75,1.25,1.5,1.25,2.5
"SELTCAWRS_t105_v1",5.6,1.8,2.8,1.6,2.4,1.6
"SELTCAWRS_t105_v2",5.2,4.8,5.4,6,5.8,4.8
"SELTCAWRS_t105_v3",5.2,2.6,1.2,2,1.2,3.2
"SELTCAWRS_t105_v4",5.6,5.6,5.4,5.6,6,4.6
"SELTCAWRS_t105_v5",5.25,5,5,5.75,5,4.75
"SELTCAWRS_t105_v6",6,1.4,3.4,1.6,1.2,1.6
"SELTCAWRS_t105_v7",5.8,6,4.8,5.8,6,5
"SELTCAWRS_t105_v8",6,2,1,1.5,1,3.25
"SELTCAWRS_t106_v1",5,1.6,5,1.6,2.6,2
"SELTCAWRS_t106_v2",5.8,5,5.8,6,5,5.2
"SELTCAWRS_t106_v3",5.8,1.4,1.6,1.4,1.6,1.8
"SELTCAWRS_t106_v4",5.4,5.6,4.8,5.4,5.8,5.2
"SELTCAWRS_t106_v5",5.2,5.2,4.6,5.8,5.4,5.6
"SELTCAWRS_t106_v6",6,1.4,3,1,1.8,1.6
"SELTCAWRS_t106_v7",6,6,4.8,6,6,6
"SELTCAWRS_t106_v8",6.4,1.6,1.2,1.4,1.2,1.6
"SELTCAWRS_t107_v1",5,1.2,3.4,1.4,1.8,2.6
"SELTCAWRS_t107_v7",5.8,5.8,4.6,5.8,6,5.8
"SELTCAWRS_t108_v1",4.8,1.4,3.8,2,2.2,2.8
